SYMBOL,PRICE,TARGET,SCORE,RSI,DEBT_EQUITY,SECTOR,VOL_SURGE
AKUMS,491.75,565.51,10,53.19,0.03,Healthcare,1.33
AKZOINDIA,2980.7,3427.8,8,54.68,0.03,Basic Materials,0.19
ALANKIT,8.98,10.33,6,62.83,0.07,Technology,0.6
ALBERTDAVD,725.8,834.67,6,63.79,0.11,Healthcare,5.36
ALEMBICLTD,84.67,97.37,8,53.52,0.0,Real Estate,0.96
ALICON,634.05,729.16,4,42.34,0.57,Industrials,0.8
ALIVUS,1042.55,1198.93,8,73.09,0.02,Healthcare,0.5
ALKALI,64.4,74.06,8,60.78,0.44,Basic Materials,0.91
ALKEM,5370.5,6176.08,8,50.52,0.17,Healthcare,1.01
ALKYLAMINE,1363.9,1568.49,8,50.39,0.0,Basic Materials,0.16
ALLCARGO,8.34,9.59,8,53.95,0.58,Industrials,0.98
ALLDIGI,828.65,952.95,8,59.83,0.33,Industrials,1.33
ALMONDZ,13.6,15.64,8,48.89,0.19,Financial Services,0.22
ALOKINDS,13.34,15.34,8,52.15,0.0,Consumer Cyclical,0.91
ALPA,69.36,79.76,8,62.17,0.0,Healthcare,0.5
ALPHAGEO,226.33,260.28,4,65.51,0.0,Energy,0.34
AMBER,6888.5,7921.78,8,51.46,0.74,Consumer Cyclical,0.94
AMBICAAGAR,23.7,27.26,8,53.1,0.75,Consumer Defensive,0.14
AMBIKCO,1404.2,1614.83,10,62.63,0.0,Consumer Cyclical,0.86
AMBUJACEM,434.05,499.16,8,46.65,0.02,Basic Materials,1.21
AMDIND,42.05,48.36,6,58.55,0.53,Consumer Cyclical,0.33
AMJLAND,41.48,47.7,8,58.58,0.0,Real Estate,0.28
AMNPLST,154.69,177.89,8,54.23,0.11,Basic Materials,0.15
AMRUTANJAN,530.95,610.59,8,46.5,0.01,Healthcare,0.22
ANANDRATHI,3553.7,4086.75,6,81.18,0.1,Financial Services,6.4
ANANTRAJ,476.75,548.26,8,51.26,0.13,Real Estate,0.84
ANDHRAPAP,62.22,71.55,8,49.61,0.14,Basic Materials,0.21
ANDHRSUGAR,74.61,85.8,8,57.54,0.0,Basic Materials,0.57
ANGELONE,281.8,324.07,6,71.84,0.76,Financial Services,2.97
ANIKINDS,42.78,49.2,8,56.62,0.04,Consumer Defensive,0.55
ANKITMETAL,1.59,1.83,8,56.01,0.0,Basic Materials,0.44
ANMOL,11.19,12.87,6,53.26,1.85,Energy,0.72
ANSALAPI,3.14,3.61,2,38.91,0.0,Real Estate,2.38
ANTGRAPHIC,0.84,0.97,8,57.04,0.65,Consumer Cyclical,0.58
