SYMBOL,PRICE,TARGET,SCORE,RSI,DEBT_EQUITY,SECTOR,VOL_SURGE
CIFL,25.49,29.31,8,47.6,1.01,Financial Services,0.84
CIGNITITEC,1249.3,1436.7,8,59.63,0.02,Technology,0.45
CINELINE,85.71,98.57,8,53.19,0.71,Communication Services,0.25
CINEVISTA,14.21,16.34,4,43.96,0.44,Communication Services,4.87
CIPLA,1224.4,1408.06,4,38.86,0.01,Healthcare,1.43
CLCIND,22.51,25.89,2,40.07,10.25,Consumer Cyclical,0.14
CLEAN,716.85,824.38,8,49.86,0.0,Basic Materials,0.83
CLEDUCATE,49.6,57.04,8,50.77,1.04,Consumer Defensive,0.39
CLSEL,261.87,301.15,8,58.35,0.09,Consumer Defensive,0.57
CMSINFO,292.0,335.8,8,51.34,0.1,Industrials,0.78
COALINDIA,454.1,522.22,6,53.8,0.13,Energy,0.67
COASTCORP,49.5,56.92,6,60.88,1.54,Consumer Defensive,1.02
COCHINSHIP,1423.9,1637.49,8,54.45,0.2,Industrials,2.13
COFFEEDAY,25.38,29.19,8,49.78,0.39,Consumer Cyclical,0.77
COFORGE,1264.9,1454.64,8,58.76,0.11,Technology,1.19
COHANCE,316.85,364.38,6,54.28,0.11,Healthcare,1.69
COLPAL,1906.7,2192.7,4,43.96,0.04,Consumer Defensive,1.19
COMPINFO,1.14,1.31,6,51.3,2.93,Technology,0.61
COMPUSOFT,13.69,15.74,8,53.66,0.33,Consumer Defensive,0.15
COMSYN,153.3,176.3,6,38.87,0.67,Consumer Cyclical,0.2
CONCOR,482.25,554.59,8,58.47,0.07,Industrials,0.98
CONCORDBIO,1054.7,1212.9,4,40.59,0.0,Healthcare,1.17
CONFIPET,54.84,63.07,8,70.29,0.55,Energy,1.6
CONSOFINVT,216.61,249.1,6,50.98,0.0,Financial Services,0.07
CONTROLPR,663.3,762.79,8,60.07,0.02,Industrials,2.5
CORALFINAC,31.79,36.56,8,52.81,0.0,Real Estate,0.36
CORDSCABLE,158.24,181.98,8,54.38,0.58,Industrials,1.17
COROMANDEL,2146.3,2468.25,6,58.34,0.12,Basic Materials,0.89
COSMOFIRST,643.65,740.2,8,51.64,1.11,Consumer Cyclical,0.87
COUNCODOS,4.99,5.74,8,61.8,0.0,Real Estate,1.86
CPCAP,84.0,96.6,6,45.12,0.14,Financial Services,0.97
CRAFTSMAN,7408.5,8519.78,10,56.89,1.09,Consumer Cyclical,0.46
CREATIVEYE,6.67,7.67,8,54.25,0.0,Communication Services,0.84
CREDITACC,1235.6,1420.94,6,56.33,2.81,Financial Services,0.34
CREST,338.4,389.16,8,52.45,0.16,Financial Services,0.3
CRISIL,3922.3,4510.65,4,43.73,0.1,Financial Services,1.01
CROMPTON,237.9,273.58,6,46.73,0.05,Consumer Cyclical,2.03
CROWN,122.95,141.39,8,53.44,0.67,Industrials,0.24
CSBBANK,395.55,454.88,8,56.17,0.0,Financial Services,0.36
CSLFINANCE,241.72,277.98,8,47.77,1.37,Financial Services,0.38
CTE,29.07,33.43,8,58.42,1.18,Technology,0.29
CUB,252.47,290.34,10,49.53,0.0,Financial Services,0.77
CUBEXTUB,88.74,102.05,8,47.48,0.53,Basic Materials,0.72
CUMMINSIND,4907.4,5643.51,8,60.35,0.0,Industrials,1.04
CUPID,92.52,106.4,10,63.95,0.07,Consumer Defensive,0.85
CURAA,110.0,126.5,4,54.25,0.55,Technology,0.17
CYBERMEDIA,14.71,16.92,8,57.79,0.0,Communication Services,0.71
CYBERTECH,126.81,145.83,8,62.11,0.03,Technology,0.98
CYIENT,890.2,1023.73,8,54.57,0.07,Industrials,1.24
CYIENTDLM,310.25,356.79,8,53.01,0.21,Technology,0.23
DABUR,429.4,493.81,4,40.45,0.11,Consumer Defensive,0.9
DALBHARAT,1910.6,2197.19,8,51.64,0.4,Basic Materials,0.35
DALMIASUG,365.95,420.84,10,61.6,0.17,Consumer Defensive,0.09
DAMCAPITAL,141.29,162.48,8,52.09,0.01,Financial Services,0.82
DAMODARIND,23.73,27.29,8,52.1,1.22,Consumer Cyclical,0.25
DANGEE,3.14,3.61,8,56.99,1.22,Consumer Cyclical,0.34
DATAMATICS,700.0,805.0,8,48.96,0.13,Technology,0.98
DATAPATTNS,3369.4,3874.81,8,60.08,0.0,Industrials,1.14
DAVANGERE,3.72,4.28,4,40.58,0.47,Consumer Defensive,1.21
DBCORP,212.15,243.97,8,52.68,0.13,Communication Services,0.45
DBEIL,65.93,75.82,4,44.83,0.35,Industrials,0.31
DBL,430.7,495.31,6,53.94,1.71,Industrials,0.68
DBOL,118.52,136.3,8,66.88,0.58,Consumer Defensive,0.32
DBREALTY,98.45,113.22,8,49.26,0.25,Real Estate,0.69
DBSTOCKBRO,26.19,30.12,10,56.89,0.04,Financial Services,0.32
DCAL,158.44,182.21,8,48.13,0.4,Healthcare,0.52
DCBBANK,182.49,209.86,10,55.69,0.0,Financial Services,0.58
DCI,365.9,420.78,8,70.9,0.73,Technology,0.13
DCM,65.01,74.76,8,48.56,0.03,Industrials,0.89
DCMFINSERV,5.56,6.39,4,51.25,0.0,Financial Services,0.82
DCMNVL,113.28,130.27,8,48.72,0.52,Consumer Cyclical,0.15
DCMSHRIRAM,1108.8,1275.12,8,53.23,0.3,Industrials,0.5
DCMSRIND,37.4,43.01,8,53.1,0.33,Consumer Defensive,0.36
DCW,42.87,49.3,8,50.29,0.36,Basic Materials,0.8
DCXINDIA,173.84,199.92,8,51.71,0.0,Industrials,0.24
DDEVPLSTIK,220.59,253.68,4,42.26,0.05,Basic Materials,0.93
DECCANCE,649.9,747.39,8,52.01,1.02,Basic Materials,0.57
DEEDEV,312.3,359.14,10,60.86,0.7,Industrials,0.62
DEEPAKFERT,1058.25,1216.99,6,59.96,0.62,Basic Materials,0.57
DEEPAKNTR,1423.0,1636.45,8,48.77,0.22,Basic Materials,0.36
DEEPINDS,441.2,507.38,8,60.43,0.1,Energy,0.33
DELHIVERY,469.85,540.33,6,67.65,0.17,Industrials,1.72
DELPHIFX,10.65,12.25,6,50.23,25.47,Financial Services,0.24
DELTACORP,58.2,66.93,8,53.05,0.01,Consumer Cyclical,0.46
DELTAMAGNT,56.39,64.85,6,52.85,3.09,Consumer Cyclical,0.38
DEN,27.28,31.37,8,56.86,0.01,Communication Services,1.37
DENORA,723.6,832.14,6,57.62,0.0,Industrials,0.23
DENTA,258.23,296.96,8,55.96,0.03,Industrials,0.38
DEVIT,29.33,33.73,8,59.04,0.18,Technology,0.99
DEVYANI,104.63,120.32,4,44.67,1.71,Consumer Cyclical,0.78
DGCONTENT,28.9,33.23,4,64.36,2.76,Communication Services,0.15
DHAMPURSUG,136.58,157.07,10,59.24,0.45,Consumer Defensive,0.6
DHANBANK,25.35,29.15,8,64.54,0.0,Financial Services,1.27
DHANUKA,1009.7,1161.16,8,53.1,0.02,Basic Materials,0.88
DHARAN,0.17,0.2,6,63.54,0.07,Real Estate,0.14
DHARMAJ,268.22,308.45,4,68.76,0.31,Basic Materials,1.63
DHRUV,34.43,39.59,8,60.56,0.22,Industrials,1.25
DHUNINV,776.65,893.15,4,42.82,0.15,Financial Services,0.25
DIACABS,132.82,152.74,8,54.03,0.0,Industrials,0.5
DIAMINESQ,241.83,278.1,8,58.16,0.06,Basic Materials,0.66
DIAMONDYD,1007.8,1158.97,8,55.68,0.08,Consumer Defensive,0.16
DICIND,515.1,592.36,8,52.02,0.01,Basic Materials,1.28
DIFFNKG,279.07,320.93,8,57.52,0.06,Industrials,0.29
DIGIDRIVE,20.8,23.92,8,55.13,0.0,Consumer Cyclical,0.57
DIGISPICE,17.14,19.71,8,47.89,0.06,Financial Services,0.64
DIGITIDE,88.63,101.92,8,53.68,0.46,Industrials,0.35
DIGJAMLMTD,45.51,52.34,4,62.83,12.64,Consumer Cyclical,0.09
DISHTV,2.99,3.44,8,61.99,0.0,Communication Services,0.47
DIVGIITTS,677.45,779.07,8,50.71,0.0,Consumer Cyclical,0.69
DIVISLAB,5952.5,6845.37,2,42.94,0.01,Healthcare,0.79
DIXON,10625.5,12219.32,8,53.25,0.3,Technology,0.81
DJML,82.46,94.83,8,48.05,0.37,Industrials,0.1
DLF,562.95,647.39,8,51.84,0.04,Real Estate,0.74
DLINKINDIA,416.15,478.57,8,56.81,0.02,Technology,0.99
DMART,4415.6,5077.94,8,67.38,0.07,Consumer Defensive,0.63
DMCC,214.2,246.33,6,48.64,0.29,Basic Materials,0.32
DNAMEDIA,3.15,3.62,8,51.2,0.0,Communication Services,1.45
DODLA,1033.7,1188.75,8,47.54,0.04,Consumer Defensive,0.64
DOLATALGO,79.09,90.95,6,64.01,0.19,Financial Services,3.5
DOLLAR,246.05,282.96,4,43.58,0.37,Consumer Cyclical,0.95
DOLPHIN,401.5,461.72,8,48.94,0.64,Energy,0.26
DOMS,2396.5,2755.98,8,58.9,0.14,Industrials,0.09
DONEAR,89.83,103.3,6,54.96,1.56,Consumer Cyclical,0.41
DPABHUSHAN,1126.6,1295.59,6,58.78,0.45,Consumer Cyclical,1.84
DPSCLTD,8.95,10.29,8,57.77,0.0,Utilities,0.98
DPWIRES,152.86,175.79,8,55.12,0.01,Industrials,1.03
DRCSYSTEMS,16.09,18.5,8,63.65,0.04,Technology,0.39
DREAMFOLKS,74.9,86.14,8,51.95,0.03,Industrials,0.94
DREDGECORP,879.25,1011.14,10,48.68,0.97,Industrials,0.6
DRREDDY,1211.9,1393.69,2,40.8,0.18,Healthcare,1.34
DSSL,986.15,1134.07,8,61.32,0.64,Technology,1.9
DTIL,130.54,150.12,8,52.89,0.43,Consumer Defensive,0.48
DUCON,3.62,4.16,8,63.05,1.39,Industrials,1.0
DVL,225.6,259.44,8,53.84,0.17,Financial Services,0.38
DWARKESH,44.64,51.34,10,61.41,0.23,Consumer Defensive,0.42
DYCL,293.84,337.92,8,58.53,0.19,Industrials,2.24
DYNAMATECH,10017.0,11519.55,10,56.7,0.78,Consumer Cyclical,0.99
DYNPRO,221.82,255.09,8,51.48,0.34,Basic Materials,0.19
E2E,2423.6,2787.14,8,56.01,0.1,Technology,0.84
EASEMYTRIP,7.96,9.15,6,62.34,0.04,Consumer Cyclical,1.62
EASTSILK,62.7,72.11,6,43.13,1.03,Consumer Cyclical,0.49
ECLERX,1495.9,1720.29,6,44.29,0.15,Technology,1.04
ECOSMOBLTY,127.05,146.11,8,47.45,0.03,Industrials,0.59
EDELWEISS,114.78,132.0,6,59.13,3.51,Financial Services,0.99
EICHERMOT,7147.5,8219.62,10,52.3,0.02,Consumer Cyclical,0.89
EIDPARRY,830.7,955.31,8,51.42,0.18,Basic Materials,1.09
EIEL,171.01,196.66,8,60.73,0.26,Industrials,0.28
EIFFL,238.76,274.57,10,56.52,0.85,Consumer Defensive,0.21
EIHAHOTELS,308.2,354.43,8,51.12,0.01,Consumer Cyclical,0.61
EIHOTEL,308.0,354.2,8,50.35,0.05,Consumer Cyclical,0.15
EIMCOELECO,1736.6,1997.09,6,64.19,0.0,Industrials,2.56
EKC,109.79,126.26,8,54.2,0.15,Industrials,0.62
ELDEHSG,816.7,939.21,8,49.12,0.27,Real Estate,0.68
ELECON,425.85,489.73,6,60.42,0.11,Industrials,1.18
ELECTCAST,84.09,96.7,8,61.35,0.38,Industrials,0.95
ELECTHERM,674.0,775.1,6,56.13,0.0,Basic Materials,0.39
ELGIEQUIP,499.6,574.54,10,55.27,0.26,Industrials,1.39
ELGIRUBCO,41.28,47.47,6,54.91,1.83,Consumer Cyclical,0.32
ELIN,116.17,133.6,8,48.82,0.03,Industrials,0.89
EMAMILTD,418.95,481.79,8,46.14,0.02,Consumer Defensive,0.35
EMAMIPAP,69.3,79.7,8,47.24,1.01,Basic Materials,0.44
EMAMIREAL,67.87,78.05,6,61.05,0.0,Real Estate,1.0
EMBDL,52.85,60.78,8,55.23,0.46,Real Estate,0.15
EMCURE,1604.9,1845.64,10,59.3,0.34,Healthcare,0.74
EMIL,100.54,115.62,6,59.13,1.26,Consumer Cyclical,0.67
EMKAY,216.26,248.7,8,50.02,0.23,Financial Services,0.89
EMMBI,83.38,95.89,8,57.1,0.84,Consumer Cyclical,0.48
EMSLIMITED,303.9,349.48,8,53.36,0.16,Industrials,0.66
EMUDHRA,476.15,547.57,6,63.77,0.02,Technology,0.42
ENDURANCE,2379.6,2736.54,8,52.26,0.2,Consumer Cyclical,0.95
ENERGYDEV,15.98,18.38,6,57.97,15.01,Utilities,1.74
ENGINERSIN,208.59,239.88,10,57.8,0.01,Industrials,1.6
ENIL,106.61,122.6,8,51.18,0.23,Communication Services,1.01
ENTERO,1180.9,1358.04,10,56.41,0.25,Healthcare,0.34
EPACK,240.64,276.74,8,53.62,0.76,Consumer Cyclical,0.53
EPIGRAL,1023.25,1176.74,4,66.91,0.26,Basic Materials,1.24
EPL,229.64,264.09,6,66.34,0.32,Consumer Cyclical,0.66
EQUIPPP,14.91,17.15,2,37.76,0.72,Technology,0.02
EQUITASBNK,59.37,68.28,8,53.01,0.59,Financial Services,0.46
ERIS,1364.1,1568.71,8,55.55,0.68,Healthcare,0.48
ESABINDIA,5416.4,6228.86,10,54.45,0.01,Industrials,0.79
ESAFSFB,23.23,26.71,8,45.36,0.0,Financial Services,1.29
ESCORTS,3127.2,3596.28,8,51.67,0.01,Industrials,1.0
ESSARSHPNG,24.88,28.61,8,53.35,0.0,Industrials,1.69
ESSENTIA,1.32,1.52,8,55.05,0.23,Consumer Defensive,0.81
ESTER,88.64,101.94,8,49.76,0.93,Basic Materials,1.57
ETERNAL,237.89,273.57,8,48.74,0.11,Consumer Cyclical,0.68
ETHOSLTD,2431.7,2796.45,6,60.73,0.19,Consumer Cyclical,0.25
EUREKAFORB,474.7,545.91,8,54.26,0.02,Consumer Cyclical,0.3
EUROBOND,161.93,186.22,8,55.61,0.89,Industrials,0.3
EUROTEXIND,13.53,15.56,8,53.8,0.0,Real Estate,1.26
EVEREADY,288.2,331.43,6,45.12,0.75,Industrials,0.56
EVERESTIND,332.25,382.09,6,45.64,0.54,Industrials,0.48
EXCELINDUS,915.35,1052.65,8,54.57,0.01,Basic Materials,0.36
EXICOM,98.21,112.94,6,61.68,0.78,Industrials,1.77
EXIDEIND,311.25,357.94,8,51.42,0.11,Consumer Cyclical,2.04
EXPLEOSOL,758.45,872.22,8,52.48,0.03,Technology,0.67
EXXARO,7.13,8.2,8,55.47,0.32,Industrials,0.46
FACT,860.95,990.09,6,61.6,2.79,Basic Materials,1.36
FAIRCHEMOR,510.45,587.02,8,46.82,0.19,Basic Materials,0.59
FAZE3Q,458.4,527.16,8,55.35,0.55,Consumer Cyclical,1.54
FCL,22.89,26.32,8,55.74,0.0,Basic Materials,1.08
FCSSOFT,1.77,2.04,4,67.39,0.0,Technology,1.3
FDC,340.6,391.69,6,45.99,0.01,Healthcare,0.4
FEDERALBNK,283.3,325.79,8,57.08,0.0,Financial Services,0.44
FEDFINA,139.51,160.44,6,56.2,3.83,Financial Services,0.74
FEL,0.42,0.48,8,58.09,0.0,Consumer Cyclical,0.35
FELDVR,2.8,3.22,8,53.73,0.0,Consumer Cyclical,0.47
FIBERWEB,37.3,42.89,8,53.28,0.04,Consumer Cyclical,0.67
FIEMIND,2158.2,2481.93,10,56.04,0.06,Consumer Cyclical,0.67
FILATEX,44.03,50.63,8,56.72,0.1,Consumer Cyclical,0.57
FILATFASH,0.2,0.23,8,55.94,0.03,Consumer Cyclical,0.07
FINCABLES,843.45,969.97,8,51.69,0.0,Industrials,0.79
FINEORG,4586.0,5273.9,8,60.62,0.01,Basic Materials,0.65
FINOPB,133.54,153.57,4,39.33,0.0,Financial Services,0.35
FINPIPE,162.01,186.31,2,41.35,0.0,Industrials,0.86
FIRSTCRY,242.84,279.27,8,56.8,0.31,Consumer Cyclical,0.27
FIVESTAR,423.3,486.79,6,61.54,1.23,Financial Services,0.76
FLAIR,304.95,350.69,8,52.89,0.05,Industrials,0.63
FLEXITUFF,6.19,7.12,4,29.45,0.0,Consumer Cyclical,0.86
FLFL,1.31,1.51,8,56.64,0.0,Consumer Cyclical,1.88
FLUOROCHEM,3309.6,3806.04,8,54.56,0.22,Basic Materials,0.49
FMGOETZE,438.4,504.16,8,60.42,0.0,Consumer Cyclical,0.25
FMNL,8.14,9.36,6,53.35,1.6,Real Estate,0.23
FOCUS,66.09,76.0,8,52.09,0.0,Consumer Cyclical,0.55
FOODSIN,59.92,68.91,8,57.67,0.89,Consumer Defensive,0.85
FORCEMOT,22168.0,25493.2,10,53.6,0.0,Consumer Cyclical,1.49
FORTIS,850.05,977.56,8,52.0,0.33,Healthcare,0.82
FOSECOIND,4646.8,5343.82,2,43.15,0.0,Basic Materials,0.53
FSL,219.04,251.9,8,45.83,0.54,Technology,0.88
FUSION,155.66,179.01,6,46.49,2.58,Financial Services,0.73
GABRIEL,907.2,1043.28,8,52.97,0.08,Consumer Cyclical,0.59
GAEL,152.79,175.71,6,68.34,0.09,Consumer Defensive,2.82
GAIL,152.22,175.05,8,55.12,0.25,Utilities,0.62
GALAPREC,724.9,833.64,4,45.83,0.09,Industrials,0.35
GALAXYSURF,1810.4,2081.96,8,56.33,0.11,Basic Materials,0.57
GALLANTT,665.5,765.32,6,74.21,0.21,Basic Materials,2.12
GANDHAR,134.8,155.02,8,53.98,0.25,Energy,0.75
GANDHITUBE,836.65,962.15,10,55.35,0.0,Industrials,0.55
GANECOS,1052.15,1209.97,6,67.54,0.43,Consumer Cyclical,0.51
GANESHBE,82.68,95.08,8,57.53,0.09,Basic Materials,0.56
GANGAFORGE,2.69,3.09,6,45.02,0.79,Industrials,0.52
GANGESSECU,121.96,140.25,8,58.15,0.0,Consumer Defensive,0.2
GARFIBRES,602.4,692.76,4,43.54,0.1,Consumer Cyclical,0.45
GARUDA,163.07,187.53,8,51.73,0.0,Industrials,0.68
GATECH,0.49,0.56,8,57.18,0.0,Financial Services,1.5
GATECHDVR,0.45,0.52,8,57.87,0.0,Financial Services,0.78
GATEWAY,56.64,65.14,8,55.55,0.28,Industrials,0.63
GAYAHWS,2.24,2.58,8,52.25,0.0,Industrials,0.92
GEECEE,299.47,344.39,6,62.99,0.0,Real Estate,0.65
GEEKAYWIRE,24.55,28.23,6,60.35,0.81,Industrials,1.54
GENCON,43.9,50.49,8,48.7,0.23,Industrials,1.46
GENESYS,234.35,269.5,4,39.05,0.21,Technology,0.51
GENSOL,21.11,24.28,4,44.31,2.28,Technology,0.89
GENUSPAPER,11.84,13.62,8,55.51,0.85,Basic Materials,0.5
GENUSPOWER,257.09,295.65,8,56.48,0.92,Industrials,0.73
GEOJITFSL,62.31,71.66,8,55.19,0.1,Financial Services,0.67
GESHIP,1391.2,1599.88,6,49.78,0.08,Industrials,0.78
GFLLIMITED,44.55,51.23,8,54.9,0.0,Financial Services,1.23
GHCL,466.8,536.82,8,52.8,0.03,Basic Materials,0.61
GHCLTEXTIL,82.78,95.2,6,65.16,0.04,Consumer Cyclical,2.92
GICHSGFIN,145.84,167.72,6,50.53,4.52,Financial Services,0.58
GICL,40.71,46.82,6,46.78,0.0,Industrials,0.84
GICRE,389.05,447.41,10,60.41,0.0,Financial Services,0.66
GILLANDERS,89.62,103.06,6,58.6,0.58,Consumer Defensive,0.61
GILLETTE,7609.0,8750.35,4,41.82,0.0,Consumer Defensive,1.09
GINNIFILA,40.8,46.92,6,61.27,0.19,Consumer Cyclical,0.91
GIPCL,136.14,156.56,8,53.38,0.79,Utilities,0.44
GKWLIMITED,1558.0,1791.7,8,48.47,0.0,Industrials,2.08
GLAND,1749.1,2011.46,8,56.72,0.03,Healthcare,0.36
GLAXO,2359.7,2713.65,6,45.63,0.02,Healthcare,0.42
GLENMARK,2169.1,2494.47,8,55.06,0.13,Healthcare,0.83
GLFL,4.3,4.95,8,46.3,0.0,Financial Services,0.08
GLOBAL,98.42,113.18,8,51.21,0.0,Consumer Defensive,0.85
GLOBALE,10.7,12.3,8,49.79,1.07,Consumer Cyclical,1.06
GLOBALVECT,172.46,198.33,6,56.72,140.97,Industrials,0.58
GLOBE,2.47,2.84,8,52.27,1.08,Consumer Cyclical,0.62
GLOBUSSPR,934.3,1074.44,8,57.74,0.45,Consumer Defensive,0.89
GLOSTERLTD,578.7,665.51,8,62.43,0.7,Consumer Cyclical,0.18
GMBREW,998.35,1148.1,8,47.21,0.0,Consumer Defensive,8.17
GMDCLTD,604.35,695.0,10,61.3,0.04,Energy,0.6
GMMPFAUDLR,890.1,1023.61,8,51.91,0.9,Industrials,0.22
GMRAIRPORT,94.53,108.71,10,53.75,0.0,Industrials,0.75
GMRP&UI,102.16,117.48,6,49.16,7.31,Energy,0.62
GNA,409.65,471.1,10,55.68,0.0,Consumer Cyclical,1.37
GNFC,428.5,492.78,8,54.58,0.0,Basic Materials,1.42
GOACARBON,326.1,375.02,6,52.02,2.08,Basic Materials,0.88
GOCLCORP,274.2,315.33,8,57.15,0.06,Basic Materials,0.11
GOCOLORS,278.8,320.62,8,47.6,0.72,Consumer Cyclical,0.38
GODAVARIB,308.3,354.54,8,53.53,0.68,Basic Materials,0.39
GODFRYPHLP,2034.8,2340.02,8,51.87,0.03,Consumer Defensive,1.04
GODIGIT,318.75,366.56,2,41.1,0.07,Financial Services,0.28
GODREJAGRO,586.9,674.94,8,52.51,1.11,Consumer Defensive,0.42
GODREJCP,1063.35,1222.85,8,49.88,0.34,Consumer Defensive,0.59
GODREJIND,872.65,1003.55,6,50.52,2.13,Industrials,0.08
GODREJPROP,1695.5,1949.82,8,57.21,0.88,Real Estate,0.69
GOKEX,653.05,751.01,8,54.31,0.46,Consumer Cyclical,0.76
GOKUL,39.06,44.92,4,49.68,0.97,Consumer Defensive,0.17
GOKULAGRO,199.88,229.86,8,68.33,0.48,Consumer Defensive,0.09
GOLDENTOBC,23.46,26.98,2,38.11,0.0,Consumer Defensive,0.95
GOLDIAM,333.4,383.41,6,58.1,0.02,Consumer Cyclical,0.64
GOLDTECH,39.71,45.67,8,53.56,0.34,Technology,1.13
GOODLUCK,1071.0,1231.65,8,52.58,0.7,Basic Materials,0.41
GOPAL,269.55,309.98,8,46.64,0.15,Consumer Defensive,0.53
GOYALALUM,6.7,7.7,8,58.01,0.06,Basic Materials,1.01
GPIL,285.15,327.92,10,61.75,0.04,Basic Materials,0.83
GPPL,150.0,172.5,4,44.48,0.02,Industrials,1.67
GPTHEALTH,136.95,157.49,4,67.6,0.38,Healthcare,0.51
GPTINFRA,109.99,126.49,8,53.47,0.33,Industrials,0.77
GRANULES,635.5,730.82,10,60.3,0.45,Healthcare,0.46
GRAPHITE,638.35,734.1,10,51.14,0.05,Industrials,0.44
GRASIM,2740.5,3151.58,8,54.94,1.27,Basic Materials,0.63
GRAVITA,1508.0,1734.2,8,55.9,0.2,Industrials,0.84
GREAVESCOT,146.65,168.65,8,54.75,0.12,Industrials,0.85
GREENLAM,219.63,252.57,8,47.98,1.03,Consumer Cyclical,0.5
GREENPANEL,200.82,230.94,8,56.54,0.31,Basic Materials,0.53
GREENPLY,212.03,243.83,6,57.11,0.64,Basic Materials,0.52
GREENPOWER,9.81,11.28,8,54.81,0.41,Utilities,1.06
GRINDWELL,1492.4,1716.26,8,53.33,0.03,Industrials,0.35
GRINFRA,834.4,959.56,4,38.3,0.63,Industrials,0.37
GRMOVER,167.95,193.14,6,68.7,0.44,Consumer Defensive,0.98
GROBTEA,855.95,984.34,4,44.38,0.14,Consumer Defensive,0.15
GRPLTD,1947.4,2239.51,8,61.05,1.12,Consumer Cyclical,0.9
GRSE,2523.6,2902.14,8,59.15,0.01,Industrials,1.45
GRWRHITECH,3644.7,4191.4,8,46.54,0.01,Basic Materials,0.97
GSFC,161.61,185.85,8,54.94,0.0,Basic Materials,0.93
GSLSU,55.0,63.25,4,37.8,0.71,Basic Materials,0.34
GSPL,240.37,276.43,4,35.44,0.01,Utilities,0.6
GSS,14.38,16.54,4,65.69,0.41,Technology,1.95
GTECJAINX,19.51,22.44,4,50.59,0.62,Consumer Defensive,1.23
GTL,7.42,8.53,6,61.77,0.0,Communication Services,2.15
GTLINFRA,1.2,1.38,6,62.96,0.0,Technology,1.38
GTPL,65.47,75.29,6,57.32,0.29,Communication Services,0.31
GUFICBIO,300.0,345.0,8,56.38,0.58,Healthcare,0.83
GUJALKALI,618.1,710.81,8,67.62,0.06,Basic Materials,0.37
GUJAPOLLO,434.7,499.91,10,59.14,0.09,Industrials,1.34
GUJGASLTD,319.7,367.66,2,33.41,1.19,Utilities,0.24
GUJRAFFIA,39.0,44.85,8,53.5,0.1,,0.35
GUJTHEM,279.19,321.07,8,50.03,0.27,Healthcare,0.32
GULFOILLUB,894.75,1028.96,4,38.19,0.3,Basic Materials,1.25
GULFPETRO,32.46,37.33,8,61.28,0.05,Energy,1.99
GULPOLY,172.14,197.96,6,66.46,0.71,Basic Materials,3.74
GVKPIL,2.58,2.97,8,46.85,0.0,Utilities,0.48
GVPTECH,6.93,7.97,6,58.36,0.0,Technology,2.03
GVT&D,3911.3,4498.0,10,58.69,0.01,Industrials,1.72
HAL,4032.9,4637.83,8,59.02,0.0,Industrials,1.83
HAPPSTMNDS,379.45,436.37,4,48.14,0.28,Technology,0.1
HAPPYFORGE,1270.6,1461.19,10,55.49,0.1,Industrials,0.98
HARDWYN,20.73,23.84,8,78.52,0.02,Industrials,0.69
HARIOMPIPE,274.4,315.56,2,35.04,0.69,Basic Materials,1.38
HARRMALAYA,188.25,216.49,8,60.89,0.69,Consumer Defensive,0.31
HARSHA,348.95,401.29,8,51.68,0.24,Industrials,0.6
HATHWAY,10.7,12.3,6,59.13,0.0,Communication Services,1.21
HATSUN,909.25,1045.64,4,47.19,1.1,Consumer Defensive,1.32
HAVELLS,1257.0,1445.55,6,45.82,0.03,Industrials,0.84
HAVISHA,1.65,1.9,6,61.1,2.08,Consumer Cyclical,1.61
HBLENGINE,722.55,830.93,6,58.47,0.04,Industrials,1.31
HBSL,54.56,62.74,6,59.51,0.13,Financial Services,0.98
HCC,16.52,19.0,8,53.89,1.47,Industrials,0.75
HCG,545.75,627.61,6,47.96,1.78,Healthcare,0.39
HCL-INSYS,12.27,14.11,8,55.28,0.0,Technology,0.66
HCLTECH,1464.9,1684.64,6,62.4,0.1,Technology,0.85
HDFCAMC,2515.0,2892.25,8,54.02,0.0,Financial Services,0.67
HDFCBANK,797.7,917.36,8,46.69,0.0,Financial Services,0.77
HDFCLIFE,591.2,679.88,4,36.53,0.18,Financial Services,0.98
HDIL,2.05,2.36,4,41.89,0.0,Real Estate,1.78
HEADSUP,6.98,8.03,8,47.3,0.0,Consumer Cyclical,0.35
HECPROJECT,133.34,153.34,4,69.85,0.74,Industrials,1.15
HEG,559.3,643.19,10,55.94,0.14,Industrials,0.34
HEIDELBERG,152.15,174.97,8,49.94,0.06,Basic Materials,0.73
HEMIPROP,123.02,141.47,2,44.27,0.2,Real Estate,0.69
HERANBA,188.74,217.05,8,52.92,0.6,Basic Materials,0.57
HERITGFOOD,323.8,372.37,8,52.25,0.21,Consumer Defensive,0.82
HEROMOTOCO,5284.0,6076.6,10,49.59,0.03,Consumer Cyclical,1.4
HESTERBIO,1428.5,1642.78,8,50.38,0.61,Healthcare,0.33
HEXATRADEX,164.07,188.68,8,58.12,0.0,Financial Services,0.08
HEXT,475.4,546.71,6,53.62,0.11,Technology,0.28
HFCL,79.61,91.55,6,66.39,0.41,Technology,2.97
HGINFRA,520.8,598.92,6,52.47,1.83,Industrials,0.51
HGS,398.4,458.16,6,63.5,0.23,Industrials,0.4
HIKAL,174.75,200.96,8,51.41,0.0,Healthcare,0.59
HILTON,20.31,23.36,8,51.11,0.58,Industrials,1.24
HIMATSEIDE,87.08,100.14,8,51.55,1.22,Consumer Cyclical,0.62
HINDALCO,985.65,1133.5,10,64.1,0.58,Basic Materials,1.29
