SYMBOL,SECTOR
20MICRONS,Basic Materials
21STCENMGM,Financial Services
360ONE,Financial Services
3IINFOLTD,Technology
3MINDIA,Industrials
5PAISA,Financial Services
63MOONS,Technology
A2ZINFRA,Industrials
AAATECH,Technology
AADHARHFC,Financial Services
AAKASH,Energy
AAREYDRUGS,Healthcare
AARON,Industrials
AARTECH,Industrials
AARTIDRUGS,Healthcare
AARTIIND,Basic Materials
AARTIPHARM,Healthcare
AARTISURF,Basic Materials
AARVI,Industrials
AAVAS,Financial Services
ABB,Industrials
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABCOTS,Consumer Cyclical
ABDL,Consumer Defensive
ABFRL,Consumer Cyclical
ABINFRA,Industrials
ABLBL,Consumer Cyclical
ABMINTLLTD,Basic Materials
ABREL,Real Estate
ABSLAMC,Financial Services
ACC,Basic Materials
ACCELYA,Technology
ACCURACY,Industrials
ACE,Industrials
ACEINTEG,Industrials
ACI,Basic Materials
ACL,Basic Materials
ACMESOLAR,Utilities
ACUTAAS,Basic Materials
ADANIENSOL,Utilities
ADANIENT,Energy
ADANIGREEN,Utilities
ADANIPORTS,Industrials
ADANIPOWER,Utilities
ADFFOODS,Consumer Defensive
ADL,Consumer Cyclical
ADOR,Industrials
ADROITINFO,Technology
ADSL,Technology
ADVANCE,Basic Materials
ADVANIHOTR,Consumer Cyclical
ADVENTHTL,Consumer Cyclical
ADVENZYMES,Basic Materials
AEGISLOG,Energy
AEGISVOPAK,Energy
AEROENTER,Basic Materials
AEROFLEX,Industrials
AERONEU,Consumer Cyclical
AETHER,Basic Materials
AFCONS,Industrials
AFFLE,Communication Services
AFFORDABLE,Industrials
AFIL,Financial Services
AFSL,Financial Services
AGARIND,Basic Materials
AGARWALEYE,Healthcare
AGI,Consumer Cyclical
AGIIL,Real Estate
AGRITECH,Consumer Defensive
AGROPHOS,Basic Materials
AGSTRA,Technology
AHCL,Healthcare
AHLADA,Industrials
AHLEAST,Consumer Cyclical
AHLUCONT,Industrials
AIAENG,Industrials
AIIL,Financial Services
AIRAN,Technology
AIROLAM,Consumer Cyclical
AJANTPHARM,Healthcare
AJAXENGG,Industrials
AJMERA,Real Estate
AJOONI,Consumer Defensive
AKASH,Industrials
AKG,Industrials
AKI,Consumer Cyclical
AKSHAR,Consumer Cyclical
AKSHARCHEM,Basic Materials
AKSHOPTFBR,Technology
AKUMS,Healthcare
AKZOINDIA,Basic Materials
ALANKIT,Technology
ALBERTDAVD,Healthcare
ALEMBICLTD,Real Estate
ALICON,Industrials
ALIVUS,Healthcare
ALKALI,Basic Materials
ALKEM,Healthcare
ALKYLAMINE,Basic Materials
ALLCARGO,Industrials
ALLDIGI,Industrials
ALLTIME,Consumer Defensive
ALMONDZ,Financial Services
ALOKINDS,Consumer Cyclical
ALPA,Healthcare
ALPHAGEO,Energy
AMANTA,Healthcare
AMBER,Consumer Cyclical
AMBICAAGAR,Consumer Defensive
AMBIKCO,Consumer Cyclical
AMBUJACEM,Basic Materials
AMDIND,Consumer Cyclical
AMJLAND,Real Estate
AMNPLST,Basic Materials
AMRUTANJAN,Healthcare
ANANDRATHI,Financial Services
ANANTRAJ,Real Estate
ANDHRAPAP,Basic Materials
ANDHRSUGAR,Basic Materials
ANGELONE,Financial Services
ANIKINDS,Consumer Defensive
ANKITMETAL,Basic Materials
ANMOL,Energy
ANSALAPI,Real Estate
ANTELOPUS,Energy
ANTGRAPHIC,Consumer Cyclical
ANTHEM,Healthcare
ANUHPHR,Healthcare
ANUP,Industrials
ANURAS,Basic Materials
APARINDS,Industrials
